pcode_parent;name;population;land_area;pop_density;pcode;3W_activities;3W_WASH;3W_Health;3W_FSL;foodsecurity
ETH;Addis Abeba;4048013.945;550;7360.025354;ETH1;1;1;0;0;1
ETH;Afar;1903767.658;97302;19.56555526;ETH2;1;0;0;1;2.141008655
ETH;Amhara;25412299.41;159572;159.2528727;ETH3;0;0;0;0;1.344735912
ETH;Benshangul-Gumaz;1021730.122;51376;19.88730385;ETH4;0;0;0;0;1.001450684
ETH;Dire Dawa;515820.7157;1075;479.8332239;ETH5;0;0;0;0;2.0064
ETH;Gambela Peoples;427565.0233;31109;13.7440941;ETH6;0;0;0;0;1.003420838
ETH;Harari People;257159.1088;378;680.3151027;ETH7;0;0;0;0;2.036117381
ETH;Oromia;34996873.97;328091;106.6681926;ETH8;2;2;0;0;1.559890078
ETH;Somali;5443496.615;316780;17.18383931;ETH9;0;0;0;0;2.749116366
ETH;Southern Nations, Nationalities and Peoples;19441378.45;110382;176.128159;ETH10;0;0;0;0;1.87571264
ETH;Tigray;5850535.078;54435;107.4774516;ETH11;1;1;0;0;1.519754184
KEN;Baringo;602470.5895;10917;55.18646052;KEN1;0;0;0;0;1.163262304
KEN;Bomet;886876.7406;2395;370.3034408;KEN2;0;0;0;0;1
KEN;Bungoma;1817024.276;3598;505.0095265;KEN3;0;0;0;0;1
KEN;Busia;859408.8392;1812;474.2874389;KEN4;0;0;0;0;1
KEN;Elgeyo-Marakwet;412876.2427;2823;146.2544253;KEN5;0;0;0;0;1.000839747
KEN;Embu;697642.3098;2853;244.529376;KEN6;0;0;0;0;1.238719313
KEN;Garissa;592160.7273;44151;13.41217022;KEN7;0;0;0;0;2.469813581
KEN;Homa Bay;1166958.377;4711;247.7092714;KEN8;0;0;0;0;1
KEN;Isiolo;157828.7043;25616;6.161332927;KEN9;2;0;1;1;2.64658518
KEN;Kajiado;657414.5618;22157;29.6707389;KEN10;0;0;0;0;1.313022412
KEN;Kakamega;1750770.901;2459;711.9849131;KEN11;0;0;0;0;1
KEN;Kericho;930330.788;2594;358.6471812;KEN12;0;0;0;0;1
KEN;Kiambu;1884944.822;2592;727.2163664;KEN13;0;0;0;0;1
KEN;Kilifi;1311041.54;12756;102.7784211;KEN14;1;0;0;1;1.670717433
KEN;Kirinyaga;714220.0669;1494;478.058947;KEN15;0;0;0;0;1.00144048
KEN;Kisii;1480681.772;1324;1118.339707;KEN16;0;0;0;0;1
KEN;Kisumu;1321822.16;2683;492.6657322;KEN17;0;0;0;0;1
KEN;Kitui;1268409.424;30675;41.34994047;KEN18;0;0;0;0;1.787917069
KEN;Kwale;795966.9438;8458;94.10817496;KEN19;1;0;0;1;1.526750948
KEN;Laikipia;500077.2269;9589;52.15113431;KEN20;0;0;0;0;1.374576189
KEN;Lamu;166791.8343;6769;24.64054281;KEN21;1;0;0;1;2.003053692
KEN;Machakos;1401433.116;6076;230.6506116;KEN22;0;0;0;0;1.003438539
KEN;Makueni;1209101.264;8236;146.8068557;KEN23;0;0;0;0;1.852007526
KEN;Mandera;396075.212;25992;15.23835072;KEN24;0;0;0;0;2.33187725
KEN;Marsabit;271264.3981;76392;3.550952954;KEN25;0;0;0;0;2.221491069
KEN;Meru;1730313.022;7032;246.0627164;KEN26;0;0;0;0;1.237891353
KEN;Migori;1114414.6;3222;345.8766606;KEN27;0;0;0;0;1
KEN;Mombasa;1249660.869;270;4628.373591;KEN28;0;0;0;0;1
