name;pcode;pcode_parent;population;land_area;pop_density
Bahr al Jabal;SSD1-1;SSD1;545197.6429;17300;31.51431462
Kajo Kaii;SSD1-2;SSD1;253432.8619;2430;104.2933588
Nahr Yei;SSD1-3;SSD1;641933.0755;13035;49.2468796
Terkaka;SSD1-4;SSD1;214900.1083;11302;19.01434333
Amatonge;SSD2-5;SSD2;338079.5295;21865;15.46213261
Kapoeta;SSD2-6;SSD2;425381.0726;34547;12.31311178
Magwi;SSD2-7;SSD2;256270.7082;5240;48.9066237
Shokodom;SSD2-8;SSD2;230671.6968;8255;27.94327036
Akobo;SSD3-9;SSD3;333353.579;19269;17.29999372
Ayod;SSD3-10;SSD3;353967.6433;18932;18.69679079
Bor;SSD3-11;SSD3;225277.2174;7086;31.79187375
Fam al Zaraf;SSD3-12;SSD3;190919.8858;7784;24.52722068
Nahr Atiem;SSD3-13;SSD3;290881.4573;13777;21.11355573
Pibor;SSD3-14;SSD3;387929.9821;44440;8.729297527
Wat;SSD3-15;SSD3;296811.6997;12749;23.28117497
Aliab;SSD4-16;SSD4;68521.07703;4324;15.84668756
Rumbek;SSD4-17;SSD4;547388.11;21704;25.22060956
Shobet;SSD4-18;SSD4;197965.1536;6368;31.08749272
Yerol;SSD4-19;SSD4;245060.2656;11152;21.97455753
Aryat;SSD5-20;SSD5;117860.9074;2243;52.54610227
Aweil;SSD5-21;SSD5;457364.1244;20976;21.80416306
Nahr Lol;SSD5-22;SSD5;332317.9473;3988;83.32947526
Wanjuk;SSD5-23;SSD5;385995.6929;5580;69.17485536
Al Leiri;SSD6-24;SSD6;319882.5089;12748;25.09276035
Al Mayom;SSD6-25;SSD6;186547.4544;5910;31.56471309
Faring;SSD6-26;SSD6;56085.16849;4122;13.60629997
Rabkona;SSD6-27;SSD6;339279.0244;14431;23.51043063
Al Mabien;SSD7-28;SSD7;50148.16261;8527;5.881102686
Al Renk;SSD7-29;SSD7;216897.76;11097;19.54562134
Baleit;SSD7-30;SSD7;107834.7317;11689;9.225317112
Fashooda;SSD7-31;SSD7;76726.92777;8723;8.795933483
Malut;SSD7-32;SSD7;131015.5403;13265;9.876784039
Mayot;SSD7-33;SSD7;260114.424;8616;30.18969638
Sobat;SSD7-34;SSD7;404080.1709;10570;38.22896603
Tonga;SSD7-35;SSD7;269279.7016;6429;41.88516123
Gogrial;SSD8-36;SSD8;456429.0802;10069;45.33013012
Malek;SSD8-37;SSD8;122282.2647;1930;63.35868638
Tonj;SSD8-38;SSD8;348995.3831;13920;25.0715074
Warab;SSD8-39;SSD8;341884.2083;14202;24.07296214
Raja;SSD9-40;SSD9;60115.91016;57685;1.042141114
Wau;SSD9-41;SSD9;314732.0753;29303;10.74060933
Meridi;SSD10-42;SSD10;219183.1194;19717;11.11645379
Mundri;SSD10-43;SSD10;228636.9786;16503;13.85426762
Tombura;SSD10-44;SSD10;185983.5137;27940;6.656532346
Yambio;SSD10-45;SSD10;321511.8506;15848;20.28721925
Baki;SOM1-1;SOM1;37432.46309;3659;10.23024408
Boorama;SOM1-2;SOM1;319224.5948;3016;105.8436985
Lughaya;SOM1-3;SOM1;50643.93177;3483;14.5403192
Zeylac;SOM1-4;SOM1;43471.27285;6521;6.66635069
Ceel Barde;SOM2-5;SOM2;40752.27161;7736;5.267873787
Rab Dhuure;SOM2-6;SOM2;53513.66007;3417;15.66100675
Tiyeeglow;SOM2-7;SOM2;113132.5585;6707;16.86783338
Wajid;SOM2-8;SOM2;96734.78949;2761;35.03614252
Xudur;SOM2-9;SOM2;129787.5921;5331;24.34582483
Mogadisho;SOM3-10;SOM3;1313101.081;212;6193.873022
Bander-Beyla;SOM4-11;SOM4;19302.05513;11248;1.716043308
Bosaaso;SOM4-12;SOM4;281657.553;8152;34.55073025
Calawla;SOM4-13;SOM4;63852.80171;5090;12.54475476
Iskushuban;SOM4-14;SOM4;59182.99577;18409;3.214894659
Qandala;SOM4-15;SOM4;60524.9344;8243;7.342585757
Qardho;SOM4-16;SOM4;118345.9231;18626;6.353802378
Baydhabo;SOM5-17;SOM5;467387.247;13338;35.04177891
Buur Xakaba;SOM5-18;SOM5;168923.9135;17640;9.576185572
Diinsoor;SOM5-19;SOM5;104632.3254;9770;10.70955224
Qansax Dheere;SOM5-20;SOM5;139263.3645;3534;39.40672454
Caabudwaaq;SOM6-21;SOM6;65978.74541;6522;10.11633631
Cadaado;SOM6-22;SOM6;67902.86321;6837;9.931675181
Ceel Buur;SOM6-23;SOM6;110114.544;13421;8.204645254
Ceel Dheer;SOM6-24;SOM6;101842.6402;10434;9.760651736
Dhuusamareeb;SOM6-25;SOM6;127867.0667;12824;9.97091911
Baar-Dheere;SOM7-26;SOM7;145171.37;14898;9.744352936
Beled Xaawo;SOM7-27;SOM7;77623.23214;4142;18.74051959
Ceel Waaq;SOM7-28;SOM7;29646.12403;8313;3.5662365
Dolow;SOM7-29;SOM7;27533.10818;1649;16.69685153
Garbahaaray;SOM7-30;SOM7;77806.85625;8077;9.633138077
Luuk;SOM7-31;SOM7;87278.30277;8321;10.48891993
